STATISTIC_CODE,Statistic,CSOED_3409,Electoral_Division,TLISTA1,CensusYear,UNIT,VALUE,GUID,ED_ID
FP009C01,Population - 2016,23161,"Curraheen, Co.Tipperary, ",2022,2022,Number,288.0,2AE196291BF113A3E055000000000001,217064
FP009C01,Population - 2016,16018,"Boston, Co.Clare, ",2022,2022,Number,288.0,2AE196291FE413A3E055000000000001,37015
FP009C01,Population - 2016,18286,"Aghadown North, Co.Cork, ",2022,2022,Number,288.0,2AE19629203F13A3E055000000000001,47003
FP009C01,Population - 2016,21037,"Griston, Co.Limerick, ",2022,2022,Number,304.0,2AE1962917AA13A3E055000000000001,127083
FP009C01,Population - 2016,34049,"Bragan, Co.Monaghan, ",2022,2022,Number,304.0,2AE196291A8913A3E055000000000001,177011
FP009C01,Population - 2016,22019,"Rathcabban, Co.Tipperary, ",2022,2022,Number,304.0,2AE196291C9413A3E055000000000001,217146
FP009C01,Population - 2016,15059,"Moneystown, Co.Wicklow, ",2022,2022,Number,304.0,2AE196291E9213A3E055000000000001,257057
FP009C01,Population - 2016,07102,"Farnoge, Co.Kilkenny, ",2022,2022,Number,304.0,2AE1962923E613A3E055000000000001,97040
FP009C01,Population - 2016,01052,"Kyle, Co.Carlow, ",2022,2022,Number,320.0,2AE1962918A013A3E055000000000001,17030
FP009C01,Population - 2016,31012,"Kilmactranny, Co.Sligo, ",2022,2022,Number,320.0,2AE19629198C13A3E055000000000001,207052
FP009C01,Population - 2016,31072,"Cloonoghill, Co.Sligo, ",2022,2022,Number,320.0,2AE1962919D813A3E055000000000001,207029
FP009C01,Population - 2016,22072,"Longfordpass, Co.Tipperary, ",2022,2022,Number,320.0,2AE196291C4213A3E055000000000001,217122
FP009C01,Population - 2016,18134,"Gortnaskehy, Co.Cork, ",2022,2022,Number,320.0,2AE196291F7013A3E055000000000001,47166
FP009C01,Population - 2016,28065,"Cloone, Co.Leitrim, ",2022,2022,Number,336.0,2AE19629171F13A3E055000000000001,117022
FP009C01,Population - 2016,30013,"Drumlosh, Co.Roscommon, ",2022,2022,Number,336.0,2AE1962919DF13A3E055000000000001,197054
FP009C01,Population - 2016,18043,"Scart, Co.Cork, ",2022,2022,Number,336.0,2AE19629218A13A3E055000000000001,47286
FP009C01,Population - 2016,29082,"Tamhnaigh na Graí, Co.Mayo, ",2022,2022,Number,352.0,2AE1962918A313A3E055000000000001,157146
FP009C01,Population - 2016,18248,"Ballyspillane, Co.Cork, ",2022,2022,Number,352.0,2AE196291F7113A3E055000000000001,47039
FP009C01,Population - 2016,08020,"Grantstown, Co.Laois, ",2022,2022,Number,368.0,2AE1962916DB13A3E055000000000001,107053
FP009C01,Population - 2016,08037,"Tankardstown, Co.Laois, ",2022,2022,Number,368.0,2AE19629170113A3E055000000000001,107092
FP009C01,Population - 2016,30099,"Lackan, Co.Roscommon, ",2022,2022,Number,368.0,2AE19629199C13A3E055000000000001,197082
FP009C01,Population - 2016,31004,"Aghanagh, Co.Sligo, ",2022,2022,Number,368.0,2AE196291A1113A3E055000000000001,207004
FP009C01,Population - 2016,12071,"Kilclonfert, Co.Offaly, ",2022,2022,Number,368.0,2AE196291AB913A3E055000000000001,187048
FP009C01,Population - 2016,19043,"An Mhin Aird, Co.Co.Kerry, ",2022,2022,Number,368.0,2AE19629227113A3E055000000000001,77137
FP009C01,Population - 2016,21026,"Athlacca, Co.Limerick, ",2022,2022,Number,384.0,2AE19629175013A3E055000000000001,127011
FP009C01,Population - 2016,27105,"Cappalusk, Co.Galway, ",2022,2022,Number,384.0,2AE1962920BF13A3E055000000000001,67045
FP009C01,Population - 2016,23175,"Templeneiry, Co.Tipperary, ",2022,2022,Number,400.0,2AE196291C0C13A3E055000000000001,217157
FP009C01,Population - 2016,32046,"Carrafin, Co.Cavan, ",2022,2022,Number,400.0,2AE196291D7413A3E055000000000001,27021
FP009C01,Population - 2016,07007,"Dunamaggan, Co.Kilkenny, ",2022,2022,Number,400.0,2AE1962923DA13A3E055000000000001,97035
FP009C01,Population - 2016,07104,"Kilbride, Co.Kilkenny, ",2022,2022,Number,400.0,2AE19629240413A3E055000000000001,97056
FP009C01,Population - 2016,21094,"Glensharrold, Co.Limerick, ",2022,2022,Number,416.0,2AE19629179113A3E055000000000001,127078
FP009C01,Population - 2016,21023,"Kilfergus, Co.Limerick, ",2022,2022,Number,416.0,2AE1962917B013A3E055000000000001,127089
FP009C01,Population - 2016,13011,"Killinure, Co.Westmeath, ",2022,2022,Number,416.0,2AE196291B0D13A3E055000000000001,237063
FP009C01,Population - 2016,23092,"Newtown, Co.Tipperary, ",2022,2022,Number,416.0,2AE196291C8613A3E055000000000001,217140
FP009C01,Population - 2016,15027,"Talbotstown, Co.Wicklow, ",2022,2022,Number,416.0,2AE196291EC213A3E055000000000001,257069
FP009C01,Population - 2016,29049,"Roslee, Co.Mayo, ",2022,2022,Number,432.0,2AE19629187613A3E055000000000001,157134
FP009C01,Population - 2016,31054,"Lakeview, Co.Sligo, ",2022,2022,Number,432.0,2AE19629199E13A3E055000000000001,207056
FP009C01,Population - 2016,12081,"Rathfeston, Co.Offaly, ",2022,2022,Number,432.0,2AE196291A4613A3E055000000000001,187072
FP009C01,Population - 2016,13077,"Huntingdon, Co.Westmeath, ",2022,2022,Number,432.0,2AE196291BDE13A3E055000000000001,237056
